i_max=300;idle_max=0;a=0.15
runtime;cost
0.153322574;543
0.149002825;553
0.148910382;552
0.148698146;545
0.148600484;540
0.148722506;548
0.148629946;526
0.148532004;555
0.148608477;534
0.14853006;564
