population_size=10;generations=20;mutation_chance=0.05
runtime;value
0.002656396;29789
0.002493174;28707
0.002399305;29092
0.002619239;28386
0.002541225;30010
0.002675812;28598
0.002704028;27850
0.002503999;31909
0.002634605;30211
0.002718485;28953
